Lead_ID,smiles,WCS,max_tanimoto_similarity,novelty_status
Pgp-Lead-01,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)Cc5nccnc5[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,0.7912743470199743,0.5670103092783505,High Novelty
Pgp-Lead-02,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1([C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)Cc6nccnc6[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)N=N1,0.7830577364205268,0.5445544554455446,High Novelty
Pgp-Lead-03,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2-c1cc2cc(-c3ccc4[nH]c(-n5c6ccccc6c(=O)c6cc(C)cc(C)c65)cc4c3)ccc2[nH]1,0.7753010583537183,0.4262295081967213,High Novelty
Pgp-Lead-04,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2-c1ccc2c(c1)Cc1ccccc1-2,0.7685097052551643,0.45901639344262296,High Novelty
Pgp-Lead-05,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1(N2CCN(C)CC2)N=N1,0.7683944428549832,0.5614035087719298,High Novelty
Pgp-Lead-06,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1(c2ccccc2C)N=N1,0.7653200598744557,0.4482758620689655,High Novelty
Pgp-Lead-07,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1(c2cccc(C)c2C)N=N1,0.7611644579352568,0.42857142857142855,High Novelty
Pgp-Lead-08,CCCCCC(=O)N1CCC(N2CCC(n3c4ccccc4c(=O)c4cc(C)cc(C)c43)CC2)CC1,0.7498493811165206,0.4305555555555556,High Novelty
Pgp-Lead-09,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCC(=O)[C@H]1CCCCO1,0.749706786147754,0.5555555555555556,High Novelty
Pgp-Lead-10,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2CCC(=O)[C@@H]1CCCCO1,0.749706786147754,0.5555555555555556,High Novelty
Pgp-Lead-11,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1CCN(C2CCN([C@@H]3CCCCO3)CC2)CC1,0.7485421159807253,0.45588235294117646,High Novelty
Pgp-Lead-12,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1CCN(C2CCN([C@H]3CCCCO3)CC2)CC1,0.7485421159807253,0.45588235294117646,High Novelty
Pgp-Lead-13,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2-c1cccc([C@H]2CCCCO2)c1,0.7485420020410212,0.4411764705882353,High Novelty
Pgp-Lead-14,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2-c1cccc([C@@H]2CCCCO2)c1,0.7485420020410212,0.4411764705882353,High Novelty
Pgp-Lead-15,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1CCN([C@H]2CCCCO2)CC1,0.7479213694621589,0.4696969696969697,High Novelty
Pgp-Lead-16,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2C1CCN([C@@H]2CCCCO2)CC1,0.7479213694621589,0.4696969696969697,High Novelty
Pgp-Lead-17,Cc1cc(C)c2c(c1)c(=O)c1ccccc1n2-c1cccc2c(=O)c3cccc(-n4c5ccccc5c(=O)c5cc(C)cc(C)c54)c3[nH]c12,0.7478218592602551,0.46808510638297873,High Novelty
